TYPE,CONTENT,DESCRIPTION,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE,DURATION,DURATION_UNIT
task,Preface to the Third Edition,,2,1,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Conventions Used in This Book,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Using Code Examples,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,O’Reilly Online Learning,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,How to Contact Us,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Acknowledgments,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,From Lorin,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,From René,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,From Bas,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
section,1. Introduction,,,,,,,,,,
task,A Note About Versions,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Ansible: What Is It Good For?,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,How Ansible Works,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,What’s So Great About Ansible?,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Simple,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Powerful,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Secure,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Is Ansible Too Simple?,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,What Do I Need to Know?,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,What Isn’t Covered,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Moving Forward,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
section,2. Installation and Setup,,,,,,,,,,
task,Installing Ansible,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Loose Dependencies,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Running Ansible in Containers,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Ansible Development,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Setting Up a Server for Testing,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Using Vagrant to Set Up a Test Server,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Telling Ansible About Your Servers,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Simplifying with the ansible.cfg File,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Kill Your Darlings,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Convenient Vagrant Configuration Options,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Port Forwarding and Private IP Addresses,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Enabling Agent Forwarding,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,The Docker Provisioner,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,The Ansible Local Provisioner,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,When the Provisioner Runs,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Vagrant Plug-ins,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Hostmanager,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,VBGuest,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,VirtualBox Customization,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Vagrantfile Is Ruby,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Production Setup,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Conclusion,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
section,3. Playbooks: A Beginning,,,,,,,,,,
task,Preliminaries,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,A Very Simple Playbook,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Specifying an NGINX Config File,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Creating a Web Page,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Creating a Group,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Running the Playbook,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Playbooks Are YAML,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Start of Document,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,End of File,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Comments,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Indentation and Whitespace,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Strings,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Booleans,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Lists,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Dictionaries,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Multiline Strings,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Pure YAML Instead of String Arguments,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Anatomy of a Playbook,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Plays,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Tasks,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Modules,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Viewing Ansible Module Documentation,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Putting It All Together,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Did Anything Change? Tracking Host State,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Getting Fancier: TLS Support,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Generating a TLS Certificate,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Variables,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Quoting in Ansible Strings,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Generating the NGINX Configuration Template,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Loop,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Handlers,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,A Few Things to Keep in Mind About Handlers,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Testing,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Validation,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,The Playbook,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Running the Playbook,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Conclusion,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
section,4. Inventory: Describing Your Servers,,,,,,,,,,
task,Inventory/Hosts Files,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Preliminaries: Multiple Vagrant Machines,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Behavioral Inventory Parameters,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Changing Behavioral Parameter Defaults,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Groups and Groups and Groups,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Example: Deploying a Django App,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Aliases and Ports,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Groups of Groups,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Numbered Hosts (Pets Versus Cattle),,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Hosts and Group Variables: Inside the Inventory,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Host and Group Variables: In Their Own Files,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Dynamic Inventory,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Inventory Plug-ins,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Amazon EC2,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Azure Resource Manager,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,The Interface for a Dynamic Inventory Script,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Writing a Dynamic Inventory Script,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Breaking the Inventory into Multiple Files,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Adding Entries at Runtime with add_host and group_by,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,add_host,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,group_by,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Conclusion,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
section,5. Variables and Facts,,,,,,,,,,
task,Defining Variables in Playbooks,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Defining Variables in Separate Files,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Directory Layout,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Viewing the Values of Variables,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Variable Interpolation,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Registering Variables,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Facts,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Viewing All Facts Associated with a Server,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Viewing a Subset of Facts,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Any Module Can Return Facts or Info,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Local Facts,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Using set_fact to Define a New Variable,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Built-In Variables,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,hostvars,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,inventory_hostname,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,groups,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Extra Variables on the Command Line,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Precedence,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Conclusion,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
section,6. Introducing Mezzanine: Our Test Application,,,,,,,,,,
task,Why Is Deploying to Production Complicated?,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Postgres: The Database,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Gunicorn: The Application Server,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,NGINX: The Web Server,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Supervisor: The Process Manager,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Conclusion,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
section,7. Deploying Mezzanine with Ansible,,,,,,,,,,
task,Listing Tasks in a Playbook,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Organization of Deployed Files,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Variables and Secret Variables,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Installing Multiple Packages,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Adding the Become Clause to a Task,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Updating the apt Cache,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Checking Out the Project Using Git,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Installing Mezzanine and Other Packages into a Virtual Environment,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Complex Arguments in Tasks: A Brief Digression,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Configuring the Database,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Generating the local_settings.py File from a Template,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Running django-manage Commands,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Running Custom Python Scripts in the Context of the Application,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Setting Service Configuration Files,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Enabling the NGINX Configuration,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Installing TLS Certificates,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Installing Twitter Cron Job,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,The Full Playbook,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Running the Playbook Against a Vagrant Machine,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Troubleshooting,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Cannot Check Out Git Repository,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Cannot Reach 192.168.33.10.nip.io,,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Bad Request (400),,2,3,Konrad (27918041),,,,Europe/Warsaw,30,minute
task,Conclusion,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
section,8. Debugging Ansible Playbooks,,,,,,,,,,
task,Humane Error Messages,,2,2,Konrad (27918041),,,,Europe/Warsaw,30,minute
